City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Mahebourg,MU,-20.4081,57.7,78.8,89,75,4.61,broken clouds
156,Leningradskiy,RU,69.3833,178.4167,-9.44,96,100,6.06,overcast clouds
157,Buin,CL,-33.7333,-70.75,60.01,87,100,3.44,overcast clouds
158,Sao Filipe,CV,14.8961,-24.4956,70.09,80,0,13.18,clear sky
159,Bodden Town,KY,19.2833,-81.25,81.0,83,20,6.91,few clouds
160,Narsaq,GL,60.9167,-46.05,12.2,52,20,8.05,few clouds
161,Ceres,US,37.5949,-120.9577,44.01,87,1,5.75,clear sky
162,Tiksi,RU,71.6872,128.8694,-11.74,95,100,5.97,overcast clouds
163,Torbay,CA,47.6666,-52.7314,43.0,81,75,5.75,broken clouds
164,Scottsboro,US,34.6723,-86.0341,60.8,100,75,15.28,moderate rain
165,Hakkari,TR,37.5833,44.1667,41.0,56,40,17.27,scattered clouds
166,Kargasok,RU,59.0556,80.8572,27.3,94,100,5.08,overcast clouds
167,Wyndham,US,37.6985,-77.6125,60.01,100,40,4.29,mist
168,Fortuna,US,40.5982,-124.1573,45.0,100,90,9.22,overcast clouds
169,Qasigiannguit,GL,68.8193,-51.1922,-9.4,77,75,3.44,light snow
170,Palmer,US,42.1584,-72.3287,55.99,100,90,2.71,mist
171,Faya,SA,18.3851,42.4509,84.2,27,20,16.11,few clouds
172,Poum,NC,-20.2333,164.0167,80.64,71,99,19.46,overcast clouds
173,Sorland,NO,67.667,12.6934,41.0,65,20,10.36,few clouds
174,Aanekoski,FI,62.6946,25.818,44.01,65,20,10.36,few clouds
175,Libertador General San Martin,AR,-23.8064,-64.7876,75.99,89,14,1.99,few clouds
176,Deputatskiy,RU,69.3,139.9,-24.39,99,99,4.7,overcast clouds
177,Saint-Pierre,RE,-21.3393,55.4781,78.8,89,75,9.22,light rain
178,Melo,UY,-32.3667,-54.1833,72.77,75,100,10.18,overcast clouds
179,Parana,AR,-31.732,-60.5238,71.92,91,100,8.08,overcast clouds
180,Bilibino,RU,68.0546,166.4372,-20.47,91,98,6.15,overcast clouds
181,Sunrise Manor,US,36.2111,-115.0731,57.2,19,20,13.8,few clouds
182,Dryden,CA,49.7833,-92.7503,17.6,79,90,8.05,overcast clouds
183,Penzance,GB,50.1186,-5.5371,53.01,82,20,18.41,few clouds
184,Sur,OM,22.5667,59.5289,84.94,45,0,11.99,clear sky
185,Waddan,LY,29.1614,16.139,64.29,29,21,15.77,few clouds
186,Goderich,CA,43.7501,-81.7165,46.4,81,100,4.61,overcast clouds
187,Ixtapa,MX,20.7,-105.2,59.0,87,40,5.75,scattered clouds
188,Komsomolskiy,UZ,40.4272,71.7189,68.0,24,100,2.3,overcast clouds
189,Ahipara,NZ,-35.1667,173.1667,58.48,88,100,5.68,overcast clouds
190,Constantine,DZ,36.365,6.6147,60.8,33,0,4.61,clear sky
191,Half Moon Bay,US,37.4636,-122.4286,51.01,87,90,17.27,mist
192,Rio Grande,BR,-32.035,-52.0986,77.0,83,75,16.11,broken clouds
193,Hermanus,ZA,-34.4187,19.2345,91.0,41,0,1.01,clear sky
194,Doha,QA,25.2867,51.5333,86.0,74,0,10.36,clear sky
195,Gigmoto,PH,13.7796,124.39,78.17,88,47,9.82,scattered clouds
196,Pevek,RU,69.7008,170.3133,-25.24,99,94,3.8,overcast clouds
197,Sept-Iles,CA,50.2001,-66.3821,32.0,93,100,5.75,light rain
198,Constitucion,CL,-35.3333,-72.4167,58.17,52,100,5.28,overcast clouds
199,Hope,US,33.6671,-93.5916,62.01,98,100,1.01,overcast clouds
200,Lloydminster,CA,53.2835,-110.0016,19.4,86,90,16.11,overcast clouds
201,Paragominas,BR,-2.9667,-47.4833,72.46,98,100,0.92,overcast clouds
202,Soavinandriana,MG,-19.1667,46.7333,69.03,79,40,3.87,light rain
203,Jiaojiang,CN,28.6803,121.4428,55.99,68,0,3.49,clear sky
204,Devils Lake,US,48.1128,-98.8651,25.0,86,1,8.05,clear sky
205,Bloomfield,US,40.8068,-74.1854,54.0,94,90,1.21,mist
206,Stratonion,GR,40.5141,23.8247,53.01,20,29,5.01,scattered clouds
207,Sitka,US,57.0531,-135.33,35.6,87,90,4.61,overcast clouds
208,Morondava,MG,-20.2833,44.2833,81.93,66,0,9.44,clear sky
209,Amapa,BR,1.0,-52.0,73.15,95,100,1.97,overcast clouds
210,Camara De Lobos,PT,32.6333,-16.9667,73.0,77,40,9.22,scattered clouds
211,Beidao,CN,34.5686,105.8933,52.86,72,100,0.36,light rain
212,Bambous Virieux,MU,-20.3428,57.7575,82.99,89,75,4.61,broken clouds
213,Provideniya,RU,64.3833,-173.3,4.57,97,100,3.15,overcast clouds
214,Ler,SS,8.3018,30.1418,107.2,15,20,2.93,few clouds
215,Esperance,AU,-33.8667,121.9,60.8,67,0,4.61,clear sky
216,Souillac,MU,-20.5167,57.5167,78.8,89,75,4.61,light rain
217,Bainbridge,US,47.6262,-122.5212,43.0,93,90,5.75,light rain
218,Katsuura,JP,35.1333,140.3,55.4,94,75,2.3,broken clouds
219,Shimoda,JP,34.6667,138.95,48.99,84,100,4.36,overcast clouds
220,Aranos,NA,-24.1333,19.1167,83.35,23,0,1.92,clear sky
221,Miquelon,PM,47.0975,-56.3814,41.0,75,75,5.75,broken clouds
222,Ciudad Ojeda,VE,10.1964,-71.3082,80.67,74,97,4.09,overcast clouds
223,Bay-Khaak,RU,51.1667,94.5,22.06,86,100,4.7,overcast clouds
224,Khromtau,KZ,50.2503,58.4347,27.0,78,100,17.65,overcast clouds
225,Naze,JP,28.3667,129.4833,63.37,73,23,12.1,few clouds
226,Bathsheba,BB,13.2167,-59.5167,80.6,61,40,18.41,scattered clouds
227,Mnogovershinnyy,RU,53.9353,139.9242,6.8,78,91,1.95,overcast clouds
228,Guerrero Negro,MX,27.9769,-114.0611,53.13,87,0,6.89,clear sky
229,Tura,IN,25.5198,90.2201,77.04,18,0,2.55,clear sky
230,Tondano,ID,1.3038,124.9112,75.2,100,40,1.14,scattered clouds
231,Salalah,OM,17.0151,54.0924,84.2,54,0,9.22,clear sky
232,Mpwapwa,TZ,-6.35,36.4833,81.84,54,92,6.06,overcast clouds
233,Taonan,CN,45.3333,122.7833,45.82,39,37,5.41,scattered clouds
234,Armidale,AU,-30.5167,151.65,46.99,86,0,3.38,clear sky
235,Copiapo,CL,-27.3667,-70.3333,59.0,82,90,11.5,overcast clouds
236,Los Llanos De Aridane,ES,28.6585,-17.9182,73.4,64,0,8.05,clear sky
237,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,1,3.44,clear sky
238,Onega,RU,63.9061,38.1404,37.99,86,12,13.13,few clouds
239,Mae Sai,TH,20.4335,99.8762,84.2,65,20,1.14,few clouds
240,Vao,NC,-22.6667,167.4833,77.22,69,100,14.83,overcast clouds
241,Westport,US,41.1415,-73.3579,55.99,94,90,4.61,overcast clouds
242,Banyo,CM,6.75,11.8167,86.94,32,100,5.66,overcast clouds
243,Kahului,US,20.8947,-156.47,70.0,100,40,0.78,scattered clouds
244,Sungairaya,ID,0.7,108.9,75.94,90,100,3.8,light rain
245,Feldbach,AT,46.9531,15.8883,61.0,22,5,7.0,clear sky
246,Kavieng,PG,-2.5744,150.7967,82.62,74,39,13.58,scattered clouds
247,Fez,MA,34.0372,-4.9998,68.0,49,0,2.3,clear sky
248,Juegang,CN,32.3174,121.1855,50.16,74,43,8.39,scattered clouds
249,Saint Anthony,US,45.0205,-93.218,35.01,93,1,4.79,mist
250,Ponta Do Sol,PT,32.6667,-17.1,73.0,77,40,9.22,scattered clouds
