City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
421,Pouebo,NC,76.73,broken clouds,-20.4,164.5667,
425,Bandarban,BD,79.77,clear sky,22.1965,92.2262,Hotel Plaza
428,Cunha,BR,82.4,few clouds,-23.0744,-44.9597,Pousada Calu
430,Mazagao,BR,84.2,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
433,Mainpuri,IN,83.39,clear sky,27.2333,79.0167,HOTEL PALM LUXURY INN
435,Ugoofaaru,MV,83.59,broken clouds,5.6667,73.0,Ungoofaaru Inn
441,Kroya,ID,79.63,overcast clouds,-7.6331,109.2461,RUSTANTO Fam
444,Iturama,BR,84.67,overcast clouds,-19.7281,-50.1956,República DominaCana
447,Nicoya,CR,75.2,clear sky,10.1483,-85.45200000000001,Guayacan Real
448,Biak,ID,78.22,broken clouds,-0.9131,122.8766,Penginapan Kim
449,Sambava,MG,84.83,clear sky,-14.2667,50.1667,Melrose
450,Dong Hoi,VN,73.44,scattered clouds,17.4833,106.6,Nam Long Hotel
451,Isangel,VU,75.2,few clouds,-19.55,169.2667,Volcano Sea View Tree House
453,Quatre Cocos,MU,82.99,broken clouds,-20.2078,57.7625,Emeraude Beach Attitude Hotel
455,Asyut,EG,73.4,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
456,Prieska,ZA,79.21,clear sky,-29.6641,22.7474,Avenue GuestHouse
458,Meulaboh,ID,75.38,overcast clouds,4.1363,96.1285,Kost Pria
459,Ternate,ID,81.37,overcast clouds,0.8,127.4,Grand Dafam Bela Ternate
461,Manzanillo,CU,77.34,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
462,Cairns,AU,79.0,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
465,Tagusao,PH,80.19,overcast clouds,9.1924,117.8141,Toledo
468,Pandan,PH,78.42,few clouds,14.0453,124.1694,Bonifacio Lodge
469,The Valley,AI,82.4,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
473,Lahat,ID,73.02,overcast clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
474,Hopelchen,MX,77.0,clear sky,19.7667,-89.85,Hotel Jaguar
475,Camopi,GF,79.38,overcast clouds,3.1655,-52.3158,
478,Lavumisa,SZ,74.8,overcast clouds,-27.31,31.892,ROADSIDE B&B
479,Teahupoo,PF,78.8,light rain,-17.8333,-149.2667,Vanira Lodge
484,Acapulco,MX,73.4,scattered clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
486,Kasempa,ZM,74.55,light rain,-13.4584,25.8338,Lolelunga Forest Reserve
490,Mbaiki,CF,78.58,light rain,3.8678,17.9892,
494,Bongandanga,CD,83.3,light rain,1.5,21.05,
497,Boca Do Acre,BR,78.58,broken clouds,-8.7522,-67.3978,Hotel Sao Pedro
499,Paita,PE,73.4,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
500,Butia,BR,78.66,clear sky,-30.1197,-51.9622,Restaurante e Churrascaria Santo Antonio Ltda
503,Prainha,BR,75.65,overcast clouds,-1.8,-53.48,Casa Rocha
504,Reconquista,AR,84.38,clear sky,-29.15,-59.65,Grand Hotel
511,Olmos,PE,74.17,overcast clouds,-5.9847,-79.7453,Hospedaje El Olmo
512,Hambantota,LK,77.0,broken clouds,6.1241,81.1185,Bungalow 63
521,Jacareacanga,BR,75.2,light rain,-6.2222,-57.7528,Casa do Ian😎
524,Cape Canaveral,US,73.99,clear sky,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
525,Toamasina,MG,84.2,light rain,-18.1667,49.3833,Hotel H1
526,Thinadhoo,MV,83.71,overcast clouds,0.5333,72.9333,
532,Kabanjahe,ID,80.6,scattered clouds,3.1001,98.4908,Kos-Kosan wanita muslim bagoes kabanjahe
535,Sinnamary,GF,79.29,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
537,Kruisfontein,ZA,78.01,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
539,Pontes E Lacerda,BR,78.87,clear sky,-15.2261,-59.3353,Hotel Bressan
541,Muisne,EC,77.0,overcast clouds,0.6,-80.0333,Quinta Samay
542,Kloulklubed,PW,80.6,broken clouds,7.0419,134.2556,Storyboard Beach Resort
544,Bure,ET,84.15,overcast clouds,10.7,37.0667,Holiday
546,Binga,ZW,80.85,scattered clouds,-17.6203,27.3414,Lakeview Inn Binga
548,Gabane,BW,80.6,broken clouds,-24.6667,25.7822,Yarona Hotel
551,Kavaratti,IN,83.75,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
552,Pontian Kecil,MY,78.8,few clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
553,Clemencia,CO,82.4,clear sky,10.5665,-75.325,Casa de Miguel Ángel Vasquez
556,Nabire,ID,76.39,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
563,Bosaso,SO,82.4,clear sky,11.2842,49.1816,Red Sea Hotel
564,Port Keats,AU,81.97,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
579,Talara,PE,73.4,clear sky,-4.5772,-81.2719,Hostal Oro Negro
583,Cururupu,BR,75.0,heavy intensity rain,-1.8283,-44.8683,Pousada Través'cia
589,Palauig,PH,81.57,clear sky,15.435,119.9045,Myhousebythesea
590,Calabazar De Sagua,CU,75.2,moderate rain,22.6447,-79.8961,Hostal La Terraza
596,Dom Pedro,BR,82.47,overcast clouds,-4.4833,-44.45,Pousada Santa Amália
598,Katherine,AU,80.6,overcast clouds,-14.4667,132.2667,Pine Tree Motel
602,Bambanglipuro,ID,79.2,moderate rain,-7.95,110.2833,Puri Brata
615,Kailua,US,75.2,light rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
618,Hwange,ZW,79.32,overcast clouds,-18.3693,26.5019,Hwange Colliery Guest House
622,Estelle,US,75.0,mist,29.8458,-90.1067,Ohio
624,Pringsewu,ID,75.33,heavy intensity rain,-5.3582,104.9744,Urban Style by Front One
625,Asamankese,GH,84.2,broken clouds,5.8601,-0.6635,Juniel lodge
626,Amahai,ID,81.3,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
627,Kafue,ZM,78.8,broken clouds,-15.7691,28.1814,Purview Lodges Ltd
629,Umm Lajj,SA,73.49,clear sky,25.0213,37.2685,Moon light Furnished Units
635,San Alejo,SV,77.0,clear sky,13.4314,-87.9631,fotografias
641,Manoel Urbano,BR,79.57,scattered clouds,-8.8389,-69.2597,Baixada Beira Rio
642,Saint-Leu,RE,78.8,light rain,-21.15,55.2833,La Caz Oceane
643,Srandakan,ID,79.39,moderate rain,-7.9386,110.2506,Puri Brata
647,Long Xuyen,VN,82.4,few clouds,10.3833,105.4167,Nhà Nghỉ Sài Gòn Ngày Đêm
648,Kindu,CD,78.24,moderate rain,-2.95,25.95,Résidence Okanda
650,Cap Malheureux,MU,82.99,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
652,Beruwala,LK,77.11,overcast clouds,6.4788,79.9828,The Palms Hotel
653,Antalaha,MG,84.72,clear sky,-14.9003,50.2788,Hotel Vitasoa
654,Nguruka,TZ,83.95,broken clouds,-5.1092,31.0419,
658,Tahta,EG,73.4,clear sky,26.7693,31.5021,El Salam Hotel
